employeeCode,employeeName,employeePhone,employeeLevel,accessTime,log
1111,KJW,000-0000-0000,Manager,2020.09.29 13:31:40,1
1111,KJW,000-0000-0000,Manager,2020.10.01 18:26:17,1
1111,KJW,000-0000-0000,Manager,2020.10.01 18:45:00,1
1111,KJW,000-0000-0000,Manager,2020.10.01 18:46:21,1
1111,KJW,000-0000-0000,Manager,2020.10.01 18:47:21,1
1111,KJW,000-0000-0000,Manager,2020.10.01 18:48:19,1
1111,KJW,000-0000-0000,Manager,2020.10.01 18:51:20,1
1111,KJW,000-0000-0000,Manager,2020.10.02 18:47:12,1
1111,KJW,000-0000-0000,Manager,2020.10.02 18:49:10,1
1111,KJW,000-0000-0000,Manager,2020.10.02 18:49:59,1
1111,KJW,000-0000-0000,Manager,2020.10.03 18:36:50,1
1111,KJW,000-0000-0000,Manager,2020.10.04 14:44:03,1
1111,KJW,000-0000-0000,Manager,2020.10.04 15:20:13,1
1111,KJW,000-0000-0000,Manager,2020.10.04 15:20:52,1
1111,KJW,000-0000-0000,Manager,2020.10.04 15:50:49,1
1111,KJW,000-0000-0000,Manager,2020.10.04 15:51:28,1
1111,KJW,000-0000-0000,Manager,2020.10.04 15:51:53,1
1111,KJW,000-0000-0000,Manager,2020.10.04 15:54:34,1
1111,KJW,000-0000-0000,Manager,2020.10.04 15:55:15,1
1111,KJW,000-0000-0000,Manager,2020.10.04 15:56:15,1
1111,KJW,000-0000-0000,Manager,2020.10.04 15:58:11,1
1111,KJW,000-0000-0000,Manager,2020.10.04 15:59:27,1
1111,KJW,000-0000-0000,Manager,2020.10.04 16:19:36,1
1111,KJW,000-0000-0000,Manager,2020.10.04 16:27:53,1
1111,KJW,000-0000-0000,Manager,2020.10.04 16:28:39,1
1111,KJW,000-0000-0000,Manager,2020.10.04 17:00:53,1
1111,KJW,000-0000-0000,Manager,2020.10.04 17:31:15,1
1111,KJW,000-0000-0000,Manager,2020.10.04 17:53:19,1
1111,KJW,000-0000-0000,Manager,2020.10.04 18:13:37,1
1111,KJW,000-0000-0000,Manager,2020.10.04 18:13:56,1
1111,KJW,000-0000-0000,Manager,2020.10.04 18:16:04,1
1111,KJW,000-0000-0000,Manager,2020.10.04 18:18:17,1
1111,KJW,000-0000-0000,Manager,2020.10.04 18:18:48,1
1111,KJW,000-0000-0000,Manager,2020.10.04 18:46:00,1
1111,KJW,000-0000-0000,Manager,2020.10.04 18:46:50,1
1111,KJW,000-0000-0000,Manager,2020.10.04 18:47:29,1
1111,KJW,000-0000-0000,Manager,2020.10.04 18:52:26,1
1111,KJW,000-0000-0000,Manager,2020.10.04 18:54:06,1
1111,KJW,000-0000-0000,Manager,2020.10.04 18:54:59,1
1111,KJW,000-0000-0000,Manager,2020.10.04 18:56:57,1
1111,KJW,000-0000-0000,Manager,2020.10.04 19:04:06,1
1111,KJW,000-0000-0000,Manager,2020.10.04 19:05:14,1
1111,KJW,000-0000-0000,Manager,2020.10.04 19:08:42,1
1111,KJW,000-0000-0000,Manager,2020.10.04 19:09:43,1
1111,KJW,000-0000-0000,Manager,2020.10.04 19:10:31,1
1111,KJW,000-0000-0000,Manager,2020.10.04 19:12:12,1
1111,KJW,000-0000-0000,Manager,2020.10.04 19:14:21,1
1111,KJW,000-0000-0000,Manager,2020.10.04 19:16:22,1
1111,KJW,000-0000-0000,Manager,2020.10.04 19:16:54,1
1111,KJW,000-0000-0000,Manager,2020.10.04 19:17:32,1
1111,KJW,000-0000-0000,Manager,2020.10.04 19:17:56,1
1111,KJW,000-0000-0000,Manager,2020.10.04 19:19:24,1
1111,KJW,000-0000-0000,Manager,2020.10.04 19:20:03,1
1111,KJW,000-0000-0000,Manager,2020.10.04 19:21:01,1
1111,KJW,000-0000-0000,Manager,2020.10.04 19:26:59,1
1111,KJW,000-0000-0000,Manager,2020.10.04 19:29:41,1
1111,KJW,000-0000-0000,Manager,2020.10.04 19:41:04,1
1111,KJW,000-0000-0000,Manager,2020.10.04 19:43:50,1
1111,KJW,000-0000-0000,Manager,2020.10.04 19:46:29,1
1111,KJW,000-0000-0000,Manager,2020.10.04 19:47:26,1
